column_0,name,city,state,address,hours of operation,associated airports,Identifier,contact information.name,contact information.phone,contact information.email,aircraft and equipment rentals.planes,flight training.faa classification,flight training.approved for va training,flight training.services,flight training.DPE inside,flight training.in-house maintenance,flight training.number of aircrafts,flight training.dormitory,flight training.visa for foreign students,training opportunities.certifications,training opportunities.ratings,training opportunities.other advanced training,school_type,city_set,flight_available,fax,flight training.affiliated college/university,aircraft and equipment rentals.equipment,aircraft and equipment rentals.simulator,aircraft and equipment rentals.rotorcraft,club listing last verified
118,CableAir - School of Flight,Upland,CA,"1749 West 13th Street Upland , CA 91786","Mon - Sun, 8:00 AM to 5:00 PM",Upland-Cable Airport,KCCB,Emily Mohs,(909) 254-6507,contact@cableairflight.com,Single Engine,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Private Pilot,Instrument,,Flight school,Town,289,,,,,,
201,Foothill Flying Club,Upland,CA,"Cable Airport 1749 West 13th Street Upland , CA 91786","Mon - Sun, 8:00 AM to 5:00 PM",Upland-Cable Airport,KCCB,,,,Aerobatic; Light Sport; Multi Engine; Single Engine; Tailwheel; Ultralight,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Aerobatic; Emergency Maneuvers; Mountain Flying; Tailwheel; Upset Recovery,Flight school,Town,289,(909) 920-0066,,Parachute,Procedures Trainer,,
230,DC Flight Simulation,Upland,CA,"1749 W. 13th Street, #10 Upland , CA 91786","24 hours a day, 7 days a week",Upland-Cable Airport,KCCB,Dylan White,N/A,Dylan@dcflightsimulation.com,,,No,Examiner; Simulator; Time Building Programs,Yes,N/A,N/A,N/A,No,,Instrument; Multi-Engine,Companion Co-Pilot; Complex; G1000; Glass Cockpit Transition,Flight school,Town,289,,,,Advanced Aviation Training Device (AATD),,
256,Aviator Flight Training and The Aviator_ Club,Upland,CA,"2009 Porter Field Way Unit U Upland , CA 91786",By Appointment,Upland-Cable Airport,KCCB,Daniel Wotring,(714) 423-4440,aviatorflight@yahoo.com,Single Engine,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Ground School,N/A,N/A,N/A,N/A,No,Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,Formation; Tailwheel,Flight school,Town,289,,,,,,
589,"FLYT Aviation, LLC",Peachtree City,GA,"5 Falcon Drive Peachtree City , GA 30269","24 hours a day, 7 days a week",Newnan Coweta County Airport,KCCO,,,,Multi Engine; Single Engine,Part 61,No,,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine,Glass Cockpit Transition,Flight school,Small Town,216,,,,,,
643,Newnan Flight Training,Newnan,GA,"115 Airport Road Newnan , GA 30263","Mon - Sun, 8:00 AM to 6:00 PM",Newnan Coweta County Airport,KCCO,Mike Fitzpatrick,(678) 590-1574,mike@newnanflighttraining.com,Aerobatic; Single Engine; Tailwheel,Part 61,No,Biennial Flight Review; Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Private Pilot,Instrument,Aerobatic; High Performance; Spin Training,Flight school,Small Town,218,,,,,,
244,MP Aviation,Concord,CA,"550 Sally Ride Dr Concord , CA 94520","Mon - Sun, 8:00 AM to 6:00 PM",Buchanan Field,KCCR,Mark Pollard,(925) 595-1980,mark@mp-aviation.com,Aerobatic,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Intro Flight,N/A,N/A,N/A,N/A,No,,,Aerobatic; Spin Training; Upset Recovery,Flight school,Town,263,,,,,,
258,Sterling Aviation Flight Training Center,Concord,CA,"Buchanan Field 145 John Glenn Drive Concord , CA 94520","Sun - Sat, 8:00 AM to 5:00 PM",Buchanan Field,KCCR,Contact us,N/A,lineservice@sterlingAV.com,Single Engine,Part 141; Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,M1,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,,Flight school,Town,263,,,,Procedures Trainer,,
277,Pacific States Aviation,Concord,CA,"Buchanan Field Airport 51 John Glenn Drive Concord , CA 94520","Sun - Sat, 6:00 AM to 8:00 PM",Buchanan Field,KCCR,Jennifer Farmer,(925) 685-4400,jennifer@psa.aero,Aerobatic; Light Sport; Multi Engine; Single Engine,Part 141; Part 61,Yes,Annual Recurrent Training; Biennial Flight Review; Intro Flight; Simulator,N/A,Yes,3,N/A,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Aerobatic; Emergency Maneuvers; Mountain Flying; Turbine; Upset Recovery,Flight school,Town,263,(925) 687-2434,,,Procedures Trainer,,
812,Charles City Aeronautics,Charles City,IA,"Northeast Iowa Regional Airport 3129 Highway 18 Charles City , IA 50616",122.8,Northeast Iowa Regional Airport,KCCY,Christopher Schrodt,N/A,christopher@northiowaair.com,Single Engine,Part 61,No,Examiner; Ground School; Intro Flight,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Multi-Engine,Tailwheel,Flight school,Small Town,187,(641) 257-6335,,,,,
1875,Gate One,Cedar City,UT,"Cedar City Regional Airport 2277 West Kittyhawk Drive Cedar City , UT 84721","Sun - Sat, 7:00 AM to 7:00 PM",Cedar City Regional Airport,KCDC,JJ Mcguire,(435) 586-4504,admin@cedarcityairport.com,Single Engine,Part 141; Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Rotary Wing; Ultralight,Mountain Flying,Flight school,Small Town,256,(435) 586-4501,,,,,
1201,Costanzo Air Flight School,Fairfield,NJ,"165 Passaic Avenue, Suite 108 Fairfield , NJ 07004","From 1/1 to 12/31: Mon - Sun, 8:00 AM to 5:00 PM",Essex County Airport,KCDW,Roberto Costanzo,N/A,roberto@costanzoair.com,,Part 61,No,,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,,Flight school,Small Town,208,,,,,,
1215,"Century Air, Inc.",Fairfield,NJ,"Essex County Airport 19 Wright Way Fairfield , NJ 07004",FAA PublicationsPilot Supplies,Essex County Airport,KCDW,Richard Greene,(973) 575-4800,info@centuryair.com,Multi Engine; Single Engine,Part 141; Part 61,Yes,Biennial Flight Review; Computerized Testing; Examiner; Ground School; Instrument Proficiency Check; Intro Flight; Simulator,Yes,N/A,8,Yes,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Instrument; Multi-Engine,Cirrus; Complex; Emergency Maneuvers; High Performance,Flight school,Small Town,208,(973) 575-4488,No,,Procedures Trainer,,
1216,ATP Flight School,Fairfield,NJ,"165 Passaic Avenue Suite 102 Fairfield , NJ 07004",By Appointment,Essex County Airport,KCDW,,,,Multi Engine; Single Engine,Part 61,No,Computerized Testing; Examiner; Ground School; Intro Flight; Simulator,Yes,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI,Instrument; Multi-Engine,G1000; Turbine,Flight school,Small Town,208,,,,Advanced Aviation Training Device (AATD); Flight Training Device (FTD),,
1220,"Eagle Flight Squadron, Inc",East Orange,NJ,"Physical Address: 410 Springdale Avenue Mailing Address: P.O. Box 5326 East Orange , NJ 07017",Irregular,Essex County Airport,KCDW,George Bailey,(973) 674-3580,gbailey@eagleflightsquadron.org,,Part 61,No,Ground School,N/A,N/A,N/A,N/A,No,,,,Flight school,Town,208,,,,,,
1237,P6 Aviation,Fairfield,NJ,"27 Wright Way Suite 1 Fairfield , NJ 07004","24 hours a day, 7 days a week",Essex County Airport,KCDW,Peter Widry,(917) 816-2209,pete@p6aviation.com,Single Engine,Part 61,No,Simulator,N/A,N/A,N/A,N/A,No,Private Pilot,Instrument,Cirrus; High Performance,Flight school,Small Town,208,,,,Flight Training Device (FTD),,
1238,Air Fleet Training Systems,Fairfield,NJ,"Essex County Airport 35 Wright Way Fairfield , NJ 07004","Mon - Sun, 8:00 AM to 7:00 PM",Essex County Airport,KCDW,Kyle Lacey,(973) 575-8220,kyle.lacey@airfleettraining.com,Multi Engine; Single Engine,Part 141; Part 61,Yes,Biennial Flight Review; Computerized Testing; Examiner; Ground School; Instrument Proficiency Check; Intro Flight; Simulator,Yes,Yes,14,Yes,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot,Instrument; Multi-Engine,Complex; High Performance,Flight school,Small Town,208,(953) 575-8222,,,Procedures Trainer,,
1316,Aviator.NYC,New York,NY,"131 Varick St Office 928 New York , NY 10013",By Appointment,Essex County Airport,KCDW,Julian Alarcon,(347) 450-7519,julian@aviator.nyc,,Part 61,No,Drone/UAS; Simulator,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,Cirrus; Complex; Drone; Emergency Maneuvers; G1000; Glass Cockpit Transition; High Altitude; High Performance; Turbine,Flight school,Metropolis,224,,,,Advanced Aviation Training Device (AATD),,
1602,VanFleet Aviation,Central,SC,"301Willow Court #9 Central , SC 29630","Mon - Sun, 7:00 AM to 7:00 PM",Oconee County Regional Airport,KCEU,Susan VanFleet,(828) 413-3636,susan321ss@aol.com,Single Engine,Part 61,No,Biennial Flight Review; Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Private Pilot; Sport Pilot,Instrument; Multi-Engine; Seaplane,Emergency Maneuvers; Mountain Flying; Tailwheel; Upset Recovery,Flight school,Small Town,223,,,,,,
417,Emerald Coast Aviation,Crestview,FL,"Bob Sikes Airport 5535 John Givens Road Crestview , FL 32539","Sun - Sat, 7:00 AM to 8:00 PM",Bob Sikes Airport,KCEW,Beau Watts,(850) 393-0751,Beau@emeraldcoastaviation.com,Single Engine,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Private Pilot; Recreational Pilot,Instrument; Multi-Engine,G1000; Glass Cockpit Transition,Flight school,Small Town,296,(866) 601-5494,,,Advanced Aviation Training Device (AATD),,
342,"Cortez Flying Service, Inc.",Cortez,CO,"Cortez Municipal Airport 22870 County Road F Cortez , CO 81321","Mon - Sun, 7:00 AM to 7:00 PM",Cortez Municipal Airport,KCEZ,David Serfoss,(970) 565-3721,cortezflying@yahoo.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,,Flight school,Small Town,240,(970) 565-7114,,,,,
766,City of Crawfordsville,Crawfordsville,IN,"Crawfordsville Regional Airport 759 West 400 South Crawfordsville , IN 47933","Sun - Sat, 9:00 AM to 5:00 PM",Crawfordsville Regional Airport,KCFJ,Contact Us,N/A,crawfordsvilleairport@crawfordsville-in.gov,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,,Flight school,Small Town,184,,,,,,
429,"Crystal Aero Group, Inc.",Crystal River,FL,"Crystal River Airport-Capt Tom Davis Fld 718 North Lindbergh Terrace Crystal River , FL 34429","Sun - Sat, 8:00 AM to 6:00 PM",Crystal River Airport,KCGC,Tom Davis,(352) 795-6868,cagi@tampabay.rr.com,Single Engine,Part 141; Part 61,No,Computerized Testing; Examiner; Ground School; Intro Flight,Yes,Yes,N/A,Yes,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine; Seaplane,Aerobatic; Emergency Maneuvers; Tailwheel; Upset Recovery,Flight school,Small Town,313,(352) 795-1730,,,,,
1091,Skybound Aviation,Scott City,MO,"Cape Girardeau Regional Airport 4333 John E. Godwin Jr. Memorial Drive Scott City , MO 63780","Sun - Sat, 7:00 AM to 10:00 PM",Cape Girardeau Regional Airport,KCGI,Contact us,N/A,skyboundaviation@gmail.com,Light Sport; Single Engine,Part 61,No,Computerized Testing; Examiner; Ground School; Intro Flight; Simulator,Yes,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Sport Pilot,Instrument,,Flight school,Small Town,220,,,,Procedures Trainer,,
1093,US Aviation Academy,Scott City,MO,"4331 John E. Godwin Jr. Memorial Drive Scott City , MO 63780","From 1/1 to 12/31: Sun - Sat, 6:00 AM to 10:00 PM",Cape Girardeau Regional Airport,KCGI,Admissions,(940) 297-6419,admissions@usaviationacademy.com,,Part 141,Yes,Computerized Testing; Ground School; Intro Flight,N/A,Yes,140,N/A,M1,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Multi-Engine,,Flight school,Small Town,220,,Tarrant County College; Lonestar College; Dutchess Community College; Southeast Missouri State University; Midwest University,,,,
1098,"Cape Copters, LLC",Cape Girardeau,MO,"Cape Girardeau Regional Airport 438 Limbaugh Drive Cape Girardeau , MO 63701","Mon - Sun, 7:00 AM to 6:00 PM",Cape Girardeau Regional Airport,KCGI,Paul Salmon,(573) 270-5388,capecopters@yahoo.com,,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Rotary Wing,Emergency Maneuvers; Formation,Flight school; Helicopter school,Small Town,213,(573) 334-0540,,,,Helicopter,
1113,Cape Air Charter,Cape Girardeau,MO,"Cape Girardeau Regional Airport 4331 Godwin Jr Memorial Drive Cape Girardeau , MO 63702","Mon - Fri, 8:00 AM to 5:00 PM",Cape Girardeau Regional Airport,KCGI,,,,Single Engine,Part 61,No,,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Instrument,,Flight school,Small Town,213,(573) 335-1973,,,,,
1647,Crystal Air,Chattanooga,TN,"104 Nowlin Lane, Hangar 19 Chattanooga , TN 37421",Part 61,Chattanooga Metropolitan Airport (Lovell Field),KCHA,,,,,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Private Pilot,,,Flight school,Small City,207,,,,,,
1846,Flight Time Aviation,Nacogdoches,TX,"556 Terry Crawford Drive, Hangar B121 Nacogdoches , TX 75963",Single Engine,Chandler Municipal Airport,KCHD,,,,Single Engine,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Private Pilot,,,Flight school,Small Town,215,,,,,,
1467,"Chickasha Wings, Inc.",Chickasha,OK,"2376 Beechcraft Road Hangar 4 Chickasha , OK 73018","Mon - Sat, 8:00 AM to 5:00 PM",Chickasha Municipal Airport,KCHK,Mitchell Williams,(405) 224-8359,mitchw1962@gmail.com,Light Sport; Multi Engine; Single Engine; Tailwheel,Part 61,No,Computerized Testing; Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Emergency Maneuvers; Tailwheel; Upset Recovery,Flight school,Small Town,234,,,,Procedures Trainer,,
1922,Charlottesville Flight Center,Charlottesville,VA,"200 Aviation Drive, Suite 170 Charlottesville , VA 22911","Mon - Fri, 9:00 AM to 3:00 PM",Charlottesville Albemarle Airport,KCHO,Braxton Via,(434) 964-1474,cfcaviation@gmail.com,Multi Engine; Single Engine,Part 61,No,Ground School,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine,Mountain Flying,Flight school,Small Town,219,,,,Advanced Aviation Training Device (AATD),,
1606,CRAFT Flight Training & Simulation,North Charleston,SC,"6060 South Aviation Avenue Suite 109 North Charleston , SC 29406","Mon - Sat, 9:00 AM to 5:00 PM",Charleston International Airport,KCHS,Amanda Aldea,(843) 800-6498,amanda@flycraftchs.com,Single Engine,Part 141; Part 61,Yes,Intro Flight; Simulator,N/A,N/A,7,N/A,M1,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Private Pilot,Instrument,,Flight school,Town,208,,,,Advanced Aviation Training Device (AATD),,
154,"Northgate Aviation, Inc.",Chico,CA,"Chico Municipal Airport 109 Convair Avenue Chico , CA 95973","Sun - Sat, 7:30 AM to 7:00 PM",Chico Regional Airport,KCIC,Alicia Rock,(530) 893-6727,Alicia@northgateaviation.com,Single Engine,Part 61,No,Computerized Testing; Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,,Flight school,Town,249,(530) 893-6740,,,,,
808,Iowa Flight Training,Cedar Rapids,IA,"Eastern Iowa Airport 3435 Beech Way SW Cedar Rapids , IA 52404","Sun - Sat, 8:00 AM to 5:00 PM",The Eastern Iowa Airport,KCID,,,,Light Sport; Multi Engine; Single Engine,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Computerized Testing; Ground School; Instrument Proficiency Check; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Multi-Engine,Tailwheel,Flight school,Town,193,(319) 446-7301,,,Procedures Trainer,,
825,"Carroll Aviation, Inc.",Carroll,IA,"Arthur N Neu Airport 21177 Quail Avenue Carroll , IA 51401","Mon - Fri, 8:00 AM to 5:00 PM",Arthur N Neu Airport,KCIN,Donald Mensen,(712) 792-4980,don@carrollaviation.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot,Instrument,,Flight school,Small Town,209,(712) 792-1208,,,,,
1905,White Hawk Aviation,Brandy Station,VA,"Culpeper Regional Airport 12517 Beverly Ford Road Brandy Station , VA 22714","Mon - Fri, 8:00 AM to 5:00 PM",Culpeper Regional Airport,KCJR,Kevin,N/A,kwood14144@aol.com,Single Engine,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Instrument,,Flight school,Small Town,197,(540) 727-8411,,,,,
2109,Fairmont State University,Fairmont,WV,"1201 Locust Avenue, Fairmont, West Virginia, 26554 United States",,North Central West Virginia Airport,KCKB,,,,,,Yes,Aicraft Maintenance Training; Commercial Pilot Certificate; Aviation College Degrees and Certifications,N/A,Yes,N/A,Yes,F1,Aviation College Degrees and Certifications,,,Aviation college,Small Town,155,,,,,,
1052,Crookston Aviation,Crookston,MN,"26305 Airport Road SW Highway 75 North Crookston , MN 56716","Mon - Fri, 8:00 AM to 5:00 PM",Crookston Municipal Kirkwood Field,KCKN,Lowell Miller,(218) 281-2625,cknairport@rrv.net,Single Engine; Tailwheel,Part 61,No,Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Private Pilot,Instrument,Tailwheel,Flight school,Small Town,196,(218) 281-1064,No,,,,
1836,Brazos Valley Flight Services,College Station,TX,"Easterwood Field 1820 George Bush Drive West, Bldg 1091 College Station , TX 77845","Sun - Sat, 9:00 AM to 5:00 PM",Easterwood Field,KCLL,Christian Bruccoleri,(979) 739-9407,cbruccoleri@bvfs.net,Single Engine,Part 61,No,Computerized Testing; Ground School; Intro Flight; Part 107 Drone Testing; Simulator,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot; Recreational Pilot; Sport Pilot,Instrument,Complex; G1000; Glass Cockpit Transition,Flight school,Town,209,(979) 260-8033,,,Procedures Trainer,,
1962,"Rite Bros. Aviation, Inc.",Port Angeles,WA,"1402 Fairchild Airport Rd Port Angeles , WA 98363","Mon - Sun, 9:00 AM to 5:00 PM",William R Fairchild International Airport,KCLM,Kristi Meek,(800) 430-7483,info@ritebros.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot,Instrument,Emergency Maneuvers; Mountain Flying,Flight school,Small Town,133,(360) 457-0386,,,,,
1990,Central Aircraft Repair,Chehalis,WA,"Chehalis-Centralia Airport 900 Northwest Airport Road Chehalis , WA 98532","Mon - Fri, 8:00 AM to 5:00 PM",Chehalis Centralia Airport,KCLS,,,,Single Engine,Part 61,No,Ground School,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Sport Pilot,Instrument,Tailwheel,Flight school,Small Town,136,(360) 740-5133,,,,,
495,Tampa Bay Aviation,Clearwater,FL,"Clearwater Air Park 1000 North Hercules Avenue Clearwater , FL 33765","Mon - Sun, 9:00 AM to 5:00 PM",Clearwater Air Park,KCLW,Laura Taylor,(727) 461-5229,office@tampabayaviation.com,Aerobatic; Multi Engine; Single Engine; Tailwheel,Part 61,No,Annual Recurrent Training; Biennial Flight Review; Computerized Testing; Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Multi-Engine; Rotary Wing,Aerobatic; Cirrus; Helicopter to Fixed-Wing Transition; Tailwheel,Flight school; Helicopter school,Town,310,,,,Advanced Aviation Training Device (AATD); Flight Training Device (FTD),Helicopter,
205,ATP Flight School,Camarillo,CA,"Camarillo Flight School 295 Willis Avenue, Suite #2 Camarillo , CA 93010",By Appointment,Camarillo International Airport,KCMA,,,,Multi Engine; Single Engine,Part 61,No,Ground School,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII,Instrument; Multi-Engine,Turbine,Flight school,Town,272,,,,Advanced Aviation Training Device (AATD),,
241,"Channel Islands Aviation, Inc",Camarillo,CA,"Camarillo Airport 305 Durley Ave Camarillo , CA 93010","Sun - Sat, 7:00 AM to 7:00 PM",Camarillo International Airport,KCMA,Flight School,N/A,school@flycia.com,Multi Engine; Single Engine,Part 141; Part 61,Yes,Computerized Testing; Ground School; Intro Flight; Simulator,N/A,Yes,10,N/A,M1,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine,Mountain Flying,Flight school,Town,272,(805) 987-8301,Liberty University,,Procedures Trainer,,
270,Camarillo Flight Instruction,Camarillo,CA,"Camarillo Airport 425 Durley Ave Camarillo , CA 93010",By Appointment,Camarillo International Airport,KCMA,Michael Linn,(805) 233-7601,info@camarilloairport.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Private Pilot; Recreational Pilot; Sport Pilot,Instrument,,Flight school,Town,272,,,,,,
294,Orbic Helicopters,Camarillo,CA,"777 Aviation Drive Camarillo , CA 93010","Mon - Sat, 8:30 AM to 5:30 PM",Camarillo International Airport,KCMA,Ken Obi,(805) 389-1070,orbicheli@gmail.com,,Part 61,No,,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument; Rotary Wing,,Flight school; Helicopter school,Town,272,(805) 389-1020,,,,Gyroplane; Helicopter,
1426,FlightSafety International,Columbus,OH,"Port Columbus International Airport 4010 Bridgeway Avenue Columbus , OH 43219",By Appointment,John Glenn Columbus International Airport,KCMH,Jeff Rose,(614) 559-3700,info@flightsafety.com,,Part 142,No,Simulator,N/A,N/A,N/A,N/A,No,,,,Flight school,Large City,178,,,,Full Flight Simulator (FFS),,
2011,GD Aviation Services,Sparta,WI,"Sparta/Fort Mc Coy Airport PO Box 225 Sparta , WI 54656",Irregular,Sparta Fort McCoy Airport,KCMY,,,,Tailwheel,Part 61,No,,N/A,N/A,N/A,N/A,No,,,Tailwheel,Flight school,Small Town,190,,,,,,
171,Joysky Institute,Chino,CA,"7000 Merrill Avenue, Building 445, Hangar E2 & E3 Main Office: 10837 Laurel St. #207, Rancho Cucamonga 91730 Chino , CA 91710","From 1/2 to 12/31: Mon - Sat, 9:00 AM to 5:00 PM",Chino Airport,KCNO,,,,,Part 61,No,,N/A,N/A,N/A,N/A,No,Private Pilot,,,Flight school,Town,285,,,,,,
190,M.I. Air Aviation Education,Chino,CA,"7000 Merrill Ave Hanger A-230 #26 Chino , CA 91710","Mon - Fri, 9:00 AM to 5:00 PM",Chino Airport,KCNO,,,,,Part 141,No,Ground School; Time Building Programs,N/A,N/A,N/A,N/A,M1,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine,Complex; High Performance,Flight school,Town,285,,,,,,
229,"SoCal Aviation, Inc.",Chino,CA,"7000 Merrill Ave Building B-120, Hangar 13 Chino , CA 91710","Mon - Sun, 7:00 AM to 10:00 PM",Chino Airport,KCNO,Suhail A Faiz Mirza,(909) 952-8036,suhail@socalaviationinc.com,Single Engine,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot,Instrument,,Flight school,Town,285,,,,Basic Aviation Training Device (BATD),,
252,Pacific Rotorways Helicopter Training,Van Nuys,CA,"16700 Roscoe Blvd Van Nuys , CA 91406","Mon - Sun, 8:00 AM to 6:00 PM",Chino Airport,KCNO,George Marciniw,(818) 478-2215,pacificrotorways@gmail.com,,Part 61,No,Ground School; Intro Flight,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Private Pilot; Recreational Pilot; Sport Pilot,Instrument; Rotary Wing,Emergency Maneuvers; Mountain Flying; Turbine,Flight school; Helicopter school,Town,286,,,,,,
274,Du Bois Aviation,Chino,CA,"Chino Airport, Building B-110  Hangars A, B & C 7601 Merrill Avenue Chino , CA 91710","Sun - Sat, 9:00 AM to 5:00 PM",Chino Airport,KCNO,Louie Du Bois,(909) 597-6292,lou@duboisaviation.com,Multi Engine; Single Engine,Part 61,No,Ground School; Intro Flight; Simulator,N/A,N/A,N/A,N/A,No,Airline Transport Pilot ATP; Commercial; Flight Instructor CFI; Flight Instructor Instrument CFII; Flight Instructor Sport CFIS; Multi Engine Instructor MEI; Private Pilot,Instrument; Multi-Engine; Rotary Wing,Emergency Maneuvers; Mountain Flying; Spin Training,Flight school; Helicopter school,Town,285,(909) 597-6292,,,,Helicopter,
